OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
004db9da41af2a14623d75b1d98728e3,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4_lineage,uncultured_Planctomycetales
004ec782c662bc8a189fde087062d234,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Nitzschia_sp.
004fdef601aaf997ab881d5a573bc8df,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,DEV007,unassigned
005e0a5cb4c8919ab3576639f2d186b6,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Schizymenia_dubyi
005ec9b97a6e47ffd3e689f26bd9fe97,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,unassigned
005f831d197c5b453e2dc255066a99a9,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,uncultured_Epulopiscium
0060ee6411108935e774002665a83a0a,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,unassigned,unassigned
0061a973a485db63373eaa8d91506901,Bacteria,Proteobacteria,Gammaproteobacteria,unassigned,unassigned,unassigned,unassigned
0061c2b8bfa0b9787a335fbb4f9a4128,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,unassigned
0064ad4356cb9f4f0cec24a161b15323,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Chromerida_sp.
006669a2226ba12e05a6edd8559d17a1,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,unassigned
0067a33a3fb28a0cf7fe9f1f965840ca,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,unassigned
006863b9db85775c2e040cd757f55a54,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,uncultured_organism
00713a7004ae0ce127d32b9dce8145fd,Bacteria,Myxococcota,Polyangia,unassigned,unassigned,unassigned,unassigned
007467ef3edd7bab26ab74d531606611,Bacteria,Planctomycetota,OM190,OM190,OM190,OM190,unassigned
0075b86409756bb818ef7ec63ca50a96,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Mastigocoleus_BC008,Mastigocoleus_testarum
007725b028a3d07ce9e1653511d6ef4f,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,uncultured,uncultured_bacterium
007c2b9daa029ec206d10606b583dc93,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
00813cd19e8fa3ddab15b5580f7a3d0c,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
00822751be18cfcdd66198c62546f943,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,unassigned,unassigned
0082ce50c568de1aa4f4a902c5cd1cbb,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,CI75cm.2.12,uncultured_gamma
00853f1d872619ada008f8f043d69692,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,unassigned
00861a18a0a6f90fd25f396fc9086150,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,unassigned,unassigned
0089a848a96a6f3512e00f51f7bb1a7f,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,unassigned
008eca91d28dac9fc9d3fd57003e8abc,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,unassigned,unassigned
008f0e64a0f8d3f3fd97fd4449e01c1e,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
009145f8ede58b17bf89b6f5e08d671e,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,unassigned,unassigned,unassigned
0097753c0adfd8fddfccdf14d1b53c8b,Eukaryota,Parabasalia,Cristamonadea,Cristamonadea,Cristamonadea,unassigned,unassigned
009e8c16cdf943f35d34dc7ead85014a,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,unassigned
00a467456f269f6a49ecc9e1071fce03,Unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
00a4f782faba4008764f89ddf6b38e9e,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,unassigned,unassigned
00a953133e162ac8990697185b09da2f,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
00aee3422634708a88c0e83c580c4523,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Gordonia,unassigned
00b32c0089cf6fee72736c2d2455cf13,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,unassigned
00b3f728c36d5dc25ed995b6f88c28a2,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,uncultured_Epulopiscium
00b70221506109f3d322410d35bf44d7,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Tetraselmis_marina
00b73fdb9598b74002190721e25c75bb,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,unassigned
00baa300d6547ad2d3466a44240b2b25,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,Sporomusa,unassigned
00baf5b09536da761d9e5138f665736d,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,unassigned,unassigned
00bbf0075f797689b9fce0809bb51996,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,uncultured_Epulopiscium
00bd20557a99c3c461b65d4fa1818284,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,uncultured,uncultured_bacterium
00bf16b1d6fa64624850de4d50ae57d0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,uncultured,uncultured_Eubacterium
00c3e02033b7e81318a142d8d96204d4,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus_Amoebophilus,unassigned
00c3f4fddcb4470366b15e700ec8d7f3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,unassigned,unassigned
00c4439e385724ba4956dfd48b6baad3,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,unassigned,unassigned
00c6019d6e33ae5159b8e313ff2fb404,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,unassigned
00ca8857025a185eb0550606c05fe139,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,unassigned
00cb20e897c3a9e246c47581fd0f2699,Unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
00cc0f0e3e1159b2d531d04cba26b602,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Cohaesibacter,uncultured_Alphaproteobacteria
00cef2a03607d02c1e87e4ee75ed8a62,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Fulvivirga,uncultured_Bacteroidetes
00d1d58cf8300beab90eec17fceeff06,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Calliarthron_tuberculosum
00d2c4aa6b20971033e69c05d584700e,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
00d2fb37330efc7af059b4b2541cf467,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,unassigned
00d80ff5a86739daf58b6b58fab9d703,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,uncultured,uncultured_Flexibacteraceae
00dd0acc1f03dc69f5167ffc06297bc0,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,unassigned,unassigned
00dd478e4ad4bd4d145670b2b983c9e6,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Caminicellaceae,Paramaledivibacter,Clostridium_sp.
00dd697adcca38a90812200379f83a5d,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Hildenbrandia_rubra
00e03f0c3efa4a0cadfe02262457e2e4,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
00e0b599c100e11f9bc8682e40fffead,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,unassigned
00e2cadd6c0b38013ae04eb5411cb8eb,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,uncultured,unassigned
00e46def5e0e46302c4747e1b45aa4fd,Eukaryota,Chlorophyta,Ulvophyceae,Ulvophyceae,Ulvophyceae,Ulvophyceae,Smithsoniella_earleae
00ecb8cddd6abce3e0f35fc74936c4d0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,unassigned
00f19d8346aa311525f281d4a7d2c865,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Riquetophycus_sp.
00f54ac3ad299835177d0f1983794274,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Saccharospirillum,unassigned
00f848b281f79af14b17a976e8108636,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,Victivallaceae,Victivallis,unassigned
00f8cfa41ed4b509b599f6fe70581f89,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,unassigned,unassigned
00fa6b087844e7ca079d61d97421b300,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
00fa6ba3b3883b3bc4f0585bad37ca36,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4_lineage,unassigned
00fc63a5cb6ed063c79d4f7508d04637,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,unassigned
00ffcee5ec1abb2b899ca596d77ce0c5,Bacteria,Firmicutes,Bacilli,Bacillales,unassigned,unassigned,unassigned
01032f4dbabf07869231e69bdab4f2d1,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus_Amoebophilus,microbial_mat
010f42e354b6e68b619b3fed58967cf6,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Congregibacter,unassigned
0118a339c07552cb521842b9119dff75,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,uncultured,uncultured_Oceanirhabdus
011cc07cedbb920adadb3a0ba6f0b16d,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,unassigned,unassigned
0121700c226593327df7e9477320e487,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Gimesiaceae,uncultured,uncultured_deep-sea
0121eef553a13cf58642b4e89b2817c7,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,unassigned
01253feafbae07f04c14b0c0c9d7d03a,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,uncultured_bacterium
012592e06d0f409b13a5e8652e65f78e,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,DMI,uncultured_bacterium
012b63d4a6b7864db09e608cd91a4a08,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,unassigned
012c5d12dcb8fc414cd3777353314044,Eukaryota,Apicomplexa,Conoidasida,Gregarinasina,Eugregarinorida,Lankesteria,unassigned
012e1d8ee5c0837548b67a817cbefdda,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,unassigned,unassigned
013204f4f2ae28b11104d7eed9319f2d,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,DEV007,uncultured_Verrucomicrobium
0136857e7609de5bcbca57aa23d2797b,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_cheraxi
013ff25dfaf173eaa1de09b18bc63dc9,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,uncultured_deep-sea
01424b168f9e338215d452c6c06f4b28,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rs-E47_termite_group,Rs-E47_termite_group,uncultured_bacterium
0144b795d1f425f35a16f78321e731f8,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halieaceae,uncultured_bacterium
014a45d578465d8ea6755e650bd9a87d,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,unassigned
014a5e905869c5072022614602791fc1,Bacteria,Firmicutes,Bacilli,RF39,RF39,RF39,uncultured_Firmicutes
014cdcbc639a0849405c7941a489339f,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Fuerstia,uncultured_bacterium
015142285bf22ed67bfdde218a1b7331,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,unassigned
0155946be7613abe396024fd02ea6dab,Bacteria,Acidobacteriota,AT-s3-28,AT-s3-28,AT-s3-28,AT-s3-28,uncultured_bacterium
01570a4ca00f19f15513e14c9386dd45,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Cyanobacteriaceae,Chroococcus_HUW_799,Chroococcus_turgidus
01592a1ed96fd1b358cd7f00937efd96,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,unassigned,unassigned,unassigned
015f9c4ec5a825a1c981297a630c7bb7,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,unassigned
015fc83644d73b8d49e019ed86c69a66,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,unassigned,unassigned
0163ac943314259fade783f89cb57dfc,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Macellibacteroides,uncultured_bacterium
016697ecbc761ec929accd5f4df02eee,Bacteria,Proteobacteria,Gammaproteobacteria,uncultured,uncultured,uncultured,uncultured_gamma
016894caf0647669e3443ea71aa105a3,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,[Anaerorhabdus]_furcosa_group,unassigned
016a247a814e9ab80835b7bc1184ddf0,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,unassigned
016b3331a9c86b7be07c7eabdd90f25e,Bacteria,Planctomycetota,Pla3_lineage,Pla3_lineage,Pla3_lineage,Pla3_lineage,uncultured_bacterium
016bc2269cef824520aea4f11618e660,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Filomicrobium,uncultured_organism
01726c7dfa6ec3d33afb34861963fc41,Bacteria,Firmicutes,Clostridia,Clostridia_vadinBB60_group,Clostridia_vadinBB60_group,Clostridia_vadinBB60_group,unassigned
0173b51c90b0813ba512e2509bd63add,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,uncultured_bacterium
0173c471b3ebcba186c9a942899499ab,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ahrensia,unassigned
017994d0add9b4d5b406af7ca2b85631,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,uncultured,unassigned
017bb69a07c6fad3384efffb156d4525,Bacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),uncultured_bacterium
017c4696f108c81358f3d877282f9b22,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,unassigned
017d8980672cd89aa7766928bb60cc54,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Breznakia,uncultured_bacterium
017fc01b487b022b8dbcabe04ec73720,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus_Finniella,unassigned
0184c0efded3f3d6dd8a599eeca85ecc,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Halodesulfovibrio,unassigned
0185dc2118efc2561da9d3c5f7146c62,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,uncultured,unassigned
018ad79c6409929bd74b4677b1e7c106,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,unassigned,unassigned
01938d056cb1a72f658c593ebbeb83f2,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,bacterium_WH5-6
0196bb7bdf9da60688c295e9fafdf3e1,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,planctomycete_MS3057
0197dab9811ba054b1dd18a09270b9ae,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,unassigned
019d79ac5f7b5397e9494886bdbd18f1,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,unassigned,unassigned
019f7c13f4d121fc40d677180ee2ed56,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,uncultured,uncultured,bacterium_YC-LK-LKJ19
01a1ac44767d15efb8173fbd01be16f0,Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,Clostridia_UCG-014,Clostridia_UCG-014,unassigned
01a34042208496a671b4a73ffc2587e3,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4_lineage,uncultured_Planctomycetales
01a53bc68939321db1c7ba18f179a7cf,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,unassigned,unassigned,unassigned
01a8a17305263c670ddcbe416edf1216,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,unassigned,unassigned
01abb2e633c471b63e4769c393f7f261,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,unassigned
01b1b1c4e4beb1816015ed48badca3d8,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,unassigned
01b1f99ae7854ce5a1f1a70d66aeb205,Unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
01b248b56a132c29aaa847a2a0801bf9,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,unassigned,unassigned
01b659df5d286e88f5362c45868186bc,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,Rubritalea_sp.
01b7e8541fae2239a1b249a974019e0e,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,uncultured,uncultured_bacterium
01b88140cba31b6c3c0077787ca5eabf,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,unassigned
01bc2f4fac4484cbe906134a87236492,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Persicobacter,Persicobacter_psychrovividus
01c0b60da8273198ad4b81c01f870899,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexales,Pseudobacteriovorax,uncultured_delta
01c3b90144c77af421b9e3fdfe3995c0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,unassigned,unassigned
01c3cca1a365ce21782ae7b6c181f781,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,uncultured,Chlamydiales_bacterium
01c4fd36b1bc6f11414bbdcd6b337b0a,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,uncultured,uncultured,uncultured_Alphaproteobacteria
01ca714f4925f9b3197bb23a38007936,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,unassigned
01d0ab7ee8c68435a6385c15d72a8d40,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,unassigned
01d0fa298840d8810b7dd050d1162493,Eukaryota,Parabasalia,unassigned,unassigned,unassigned,unassigned,unassigned
01d22656805e58e766af4a81d1eebfc6,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
01d4a688148e90d8fe8e03bca46891f9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Cohaesibacter,uncultured_Alphaproteobacteria
01d5a5916bec2ace842650c6adba8871,Eukaryota,Vertebrata,Actinopterygii,Teleostei,Teleostei,Teleostei,unassigned
01d6aa89b94270297c2fe9b03e1eb7b4,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,uncultured_bacterium
01d85312970296709e66d6025c8ab55d,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,unassigned
01dc6a03ef1beedaa06a880d08aa5309,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,uncultured,unassigned
01e079ac9536725c84a7a847b243286b,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,uncultured_bacterium
01eb5b9e679dac31fcecffdc4004d253,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12409,UBA12409,unassigned
01ebb93c6c6bd4cbc80b0ea2a5bcc69e,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Hildenbrandia_rubra
01ec3153c56a45160b125fd0681cc098,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,Thalassotalea_litorea
01ed52337e0770caaf3747d7db35891b,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
01f04618dc7272beb603ddb4c4f18be3,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,unassigned
01f29beb42debb03c7cd852f6be85eb1,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,uncultured,unassigned
01f302c73fdea6358d34afb5d8d04a24,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,uncultured,uncultured_Planctomyces
01f57040340506a28da70ff68fc88014,Bacteria,Firmicutes,Bacilli,unassigned,unassigned,unassigned,unassigned
01f5d0ac9f905dcfb01e126dd67a6439,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Ostreobium_quekettii
01fa64874c437ce9eaf81da448b47d3e,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,unassigned
01fdcbff74d46c8ad87e05808b296270,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,unassigned
01ffe5ecbab970e8a411899bac4b9e09,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,uncultured,uncultured_bacterium
0208a6f8328657aa73eeae9dfa4de765,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
020a7cfbbc079ba5862b2bb6a7071afb,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,uncultured,metagenome
020c3095f936523d818a40d20bfea6cb,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,Endozoicomonas_atrinae
020cc7104f81bab39d52a3a2288ab1ba,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
020f2585707824abadaa0027061180ec,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,uncultured,unassigned
